Time,Open,High,Low,Last,Change,Volume
08/02/17,42.77,42.8899,42.16,42.36,0.295,474100
08/01/17,42.05,42.15,42,42.065,-0.395,202900
07/31/17,42.21,42.47,42.21,42.46,0.07,467700
07/28/17,42.16,42.4,41.95,42.39,0.039999999999999,290400
07/27/17,42.965,43.068,42.26,42.35,0.61,967800
07/26/17,41.24,42.2,41.01,41.74,2.36,862000
07/25/17,39.62,39.69,39.32,39.38,-1.445,560700
07/24/17,40.6,40.9,40.51,40.825,-0.88489999999999,172500
07/21/17,41.6,41.71,41.26,41.7099,0.1799,124300
07/20/17,41.66,41.82,41.47,41.53,-0.41,244600
07/19/17,41.885,42.12,41.79,41.94,1.15,385100
07/18/17,40.36,40.8,40.36,40.79,1.37,537100
07/17/17,39.7,39.88,39.42,39.42,-0.41,351600
07/14/17,39.8,39.87,39.6,39.83,-0.039999999999999,269100
07/13/17,39.91,40.01,39.71,39.87,-0.12,223300
07/12/17,39.69,40,39.65,39.99,0.54,316400
07/11/17,39.538,39.57,39.25,39.45,-0.66,334700
07/10/17,39.865,40.17,39.8,40.11,1.06,410000
07/07/17,38.56,39.2,38.56,39.05,0.68,480800
07/06/17,38.315,38.5,38.13,38.37,-0.76000000000001,444500
07/05/17,38.95,39.13,38.81,39.13,-1.57,862000
07/03/17,40.88,41.1,40.62,40.7,-1.12,283800
06/30/17,41.955,42,41.66,41.82,-0.14,377600
06/29/17,42.87,43.09,41.35,41.96,-0.71,1068800
06/28/17,42.23,42.876,42.07,42.67,-1.17,785600
06/27/17,43.95,44,43.7,43.84,-0.41,588600
06/26/17,43.71,44.33,43.71,44.25,1.04,706300
